link,headline,category,short_description,authors,date,combined_text
https://www.huffingtonpost.com/entry/closing-access-to-scienti_us_5baebd18e4b014374e2eb972,Closing Access to Scientific Literature: The Battle Begins,SCIENCE,"Science is not a commercial thing. Science is a communal, cooperative enterprise in which information, knowledge, data, and ideas are shared openly and broadly. Any entity that puts commercial interests ahead of this shared enterprise, such as Elsevier, needs to get its priorities straight.","A. Townsend Peterson, Contributor
University Distinguished Professor, University of Kansas",2013-12-21,"Closing Access to Scientific Literature: The Battle Begins Science is not a commercial thing. Science is a communal, cooperative enterprise in which information, knowledge, data, and ideas are shared openly and broadly. Any entity that puts commercial interests ahead of this shared enterprise, such as Elsevier, needs to get its priorities straight. A. Townsend Peterson, Contributor
University Distinguished Professor, University of Kansas"
https://www.huffingtonpost.com/entry/mike-pence-north-korea-talks_us_5a8cc321e4b00a30a2507164,"Pence Planned Secret Talks With North Korea, But Meeting Was Called Off",POLITICS,The vice president's office accused the country of trying to “whitewash their murderous regime with nice photo ops.”,Nick Visser,2018-02-21,"Pence Planned Secret Talks With North Korea, But Meeting Was Called Off The vice president's office accused the country of trying to “whitewash their murderous regime with nice photo ops.” Nick Visser"
https://www.huffingtonpost.com/entry/human-sleep-more-efficient-than-animals_us_56704856e4b0fccee16ffa2b,Here's How Humans Evolved To Be Really Efficient Sleepers,SCIENCE,We've got shut-eye down pat.,Eliza Sankar-Gorton and Jacqueline Howard,2015-12-16,Here's How Humans Evolved To Be Really Efficient Sleepers We've got shut-eye down pat. Eliza Sankar-Gorton and Jacqueline Howard
https://www.huffingtonpost.com/entry/trump-expels-60-russians-after-uk-chemical-attack_us_5ab8efbfe4b054d118e4f35c,"Trump Expels 60 Russians, Closes Russian Consulate In Seattle After UK Chemical Attack",POLITICS,The order reflects concerns that Russian intelligence activities have been increasingly aggressive.,,2018-03-26,"Trump Expels 60 Russians, Closes Russian Consulate In Seattle After UK Chemical Attack The order reflects concerns that Russian intelligence activities have been increasingly aggressive. "
https://www.huffingtonpost.com/entry/breaking-fast-at-a-sufi-mosque_b_6378868.html,Breaking Fast at a Sufi Mosque,RELIGION,"Sufis generally get together for communal dinner every Saturday but during Ramadan when they fast, they get together four times a week to cook and gather for the Iftar meal that breaks the day-long fast. As both sisters are American, tonights dinner is not going to be ethnic.","Ramaa Reddy Raghavan, ContributorGraduate, Columbia School of Journalism",2014-12-25,"Breaking Fast at a Sufi Mosque Sufis generally get together for communal dinner every Saturday but during Ramadan when they fast, they get together four times a week to cook and gather for the Iftar meal that breaks the day-long fast. As both sisters are American, tonights dinner is not going to be ethnic. Ramaa Reddy Raghavan, ContributorGraduate, Columbia School of Journalism"
https://www.huffingtonpost.com/entry/pelosi-trump-russia-stonewalling_us_58a48853e4b0ab2d2b1b3d02,Nancy Pelosi Says Republicans Are 'Stonewalling' Investigation Into Trump's Russia Ties,POLITICS,"“The public is owed the truth.""",Igor Bobic,2017-02-15,"Nancy Pelosi Says Republicans Are 'Stonewalling' Investigation Into Trump's Russia Ties “The public is owed the truth."" Igor Bobic"
https://www.huffingtonpost.com/entry/feathers-evolve-flight-archaeopteryx_n_5561166.html,REVEALED: Why Feathers First Evolved,SCIENCE,,Jacqueline Howard,2014-07-06,REVEALED: Why Feathers First Evolved  Jacqueline Howard
https://www.huffingtonpost.comhttp://www.theatlantic.com/science/archive/2015/11/return-of-the-turkey/417648/,Why Wild Turkeys Hate The Wild,SCIENCE,"When the birds were reintroduced to New England after a long absence, they chose to live in cities instead of the forests they once called home.",,2015-11-26,"Why Wild Turkeys Hate The Wild When the birds were reintroduced to New England after a long absence, they chose to live in cities instead of the forests they once called home. "
https://www.huffingtonpost.com/entry/pamela-anderson-connected_us_56ce3184e4b03260bf756e21,Eerie Sci-Fi Short Explores Quest To Feel 'Connected' With A Surprising Star,RELIGION,"Former ""Baywatch"" actress Pamela Anderson is intense.",Antonia Blumberg,2016-02-25,"Eerie Sci-Fi Short Explores Quest To Feel 'Connected' With A Surprising Star Former ""Baywatch"" actress Pamela Anderson is intense. Antonia Blumberg"
https://www.huffingtonpost.com/entry/do-you-know-where-your-e-coli-are_us_5baeb793e4b014374e2e658a,Do You Know Where Your E. coli Are?,SCIENCE,"Clearly the contamination of recreational waters and key venues is a big concern.  But when you go, do you know that you could leave your E. coli behind?  And what does that mean in regard to your health?","Joan Rose, Contributor
I am a water microbiologist that works at the interface betwee...",2013-06-22,"Do You Know Where Your E. coli Are? Clearly the contamination of recreational waters and key venues is a big concern.  But when you go, do you know that you could leave your E. coli behind?  And what does that mean in regard to your health? Joan Rose, Contributor
I am a water microbiologist that works at the interface betwee..."
https://www.huffingtonpost.com/entry/fusion-fission-and-fossil_us_5baebd59e4b014374e2ebe93,"Fusion, Fission, and Fossil Fuels",SCIENCE,"Even if controlled fusion is still a long way from reaching fruition, nuclear energy remains the best and perhaps the only long-term, large-scale solution to the world's energy needs.","Victor Stenger, Contributor
Physicist, PhD, bestselling author",2014-01-05,"Fusion, Fission, and Fossil Fuels Even if controlled fusion is still a long way from reaching fruition, nuclear energy remains the best and perhaps the only long-term, large-scale solution to the world's energy needs. Victor Stenger, Contributor
Physicist, PhD, bestselling author"
https://www.huffingtonpost.comhttp://www.nytimes.com/2016/05/11/us/politics/hillary-clinton-aliens.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=first-column-region&region=top-news&WT.nav=top-news,Hillary Clinton Gives U.F.O. Buffs Hope She Will Open The X-Files,POLITICS,"When Jimmy Kimmel asked Hillary Clinton in a late-night TV interview about U.F.O.s, she quickly corrected his terminology",,2016-05-10,"Hillary Clinton Gives U.F.O. Buffs Hope She Will Open The X-Files When Jimmy Kimmel asked Hillary Clinton in a late-night TV interview about U.F.O.s, she quickly corrected his terminology "
https://www.huffingtonpost.comhttp://www.nytimes.com/2016/05/20/us/politics/donald-trump-immigration.html,"Donald Trump’s Immigration Plan: Big Promises, Bigger Doubts",POLITICS,"Big promises are to be expected from presidential candidates, but reality often intrudes.",,2016-05-19,"Donald Trump’s Immigration Plan: Big Promises, Bigger Doubts Big promises are to be expected from presidential candidates, but reality often intrudes. "
https://www.huffingtonpost.com/entry/san-juan-mayor-and-fema-official-debate-hurricane-response_us_59d105f1e4b09538b508d332,San Juan Mayor And FEMA Official Debate Hurricane Response,POLITICS,"""And all I did last week, or even this week, was ask for help. It has to happen in a sustained manner,"" Carmen Yulín Cruz said.",Jason Cherkis,2017-10-01,"San Juan Mayor And FEMA Official Debate Hurricane Response ""And all I did last week, or even this week, was ask for help. It has to happen in a sustained manner,"" Carmen Yulín Cruz said. Jason Cherkis"
https://www.huffingtonpost.com/entry/view-from-latin-america-p_b_7195154.html,View From Latin America: Pope Francis Winning Over People in the Streets and in the Pews,RELIGION,"Scholars, religious leaders and journalists already see signs Pope Francis is making a difference.","David Briggs, ContributorWriter, Association of Religion Data Archives",2015-05-05,"View From Latin America: Pope Francis Winning Over People in the Streets and in the Pews Scholars, religious leaders and journalists already see signs Pope Francis is making a difference. David Briggs, ContributorWriter, Association of Religion Data Archives"
https://www.huffingtonpost.com/entry/post_9671_b_7683632.html,,RELIGION,"Let everyone not wrapped in tired and disproven doctrines about sex rid themselves of anti-scientific dogmas and be free. The law of grace, not of fear, can now blow freely.","Matthew Fox, ContributorRadical theologian Matthew Fox is the author of more than 30 b...",2015-06-30," Let everyone not wrapped in tired and disproven doctrines about sex rid themselves of anti-scientific dogmas and be free. The law of grace, not of fear, can now blow freely. Matthew Fox, ContributorRadical theologian Matthew Fox is the author of more than 30 b..."
https://www.huffingtonpost.com/entry/immigrating-to-a-new-world_us_58fbc1e5e4b086ce589811c0,Immigrating To A New World,RELIGION,For my birthday my wife Joy surprised me with a framed picture of my twenty-year-old mother Trudy. Someone had taken the,"Jake Owensby, ContributorBishop of Western Louisiana",2017-04-22,"Immigrating To A New World For my birthday my wife Joy surprised me with a framed picture of my twenty-year-old mother Trudy. Someone had taken the Jake Owensby, ContributorBishop of Western Louisiana"
https://www.huffingtonpost.com/entry/americas-health-is-in-the-hands-of-gop-frat-boys_us_590d0591e4b056aa2363d50e,America’s Health Is In The Hands Of GOP Frat Boys,POLITICS,This just in: Health care is not a game. It’s a matter life or death for millions and millions of Americans. But you sure,"Michael Winship, ContributorFormer senior writer, BillMoyers.com. President, Writers Guild...",2017-05-05,"America’s Health Is In The Hands Of GOP Frat Boys This just in: Health care is not a game. It’s a matter life or death for millions and millions of Americans. But you sure Michael Winship, ContributorFormer senior writer, BillMoyers.com. President, Writers Guild..."
https://www.huffingtonpost.comhttp://pubx.co/FaeE2r,A Bioengineered Tree Could Revive America's Once-Vast Chestnut Forests,SCIENCE,"A century ago, towering forests of chestnut trees blanketed the East Coast of the United States. Then a fungus that hitched",,2016-01-27,"A Bioengineered Tree Could Revive America's Once-Vast Chestnut Forests A century ago, towering forests of chestnut trees blanketed the East Coast of the United States. Then a fungus that hitched "
https://www.huffingtonpost.com/entry/hands-are-for-fighting-not-for-talking_us_5baeb3ece4b014374e2e03cf,"Hands Are for Fighting, Not for Talking?",SCIENCE,"So many popular stories about evolution strive to pinpoint a single evolutionary force responsible for a particular trait. I am expecting that we will see a new tide of stories that are just so, given that news of a new biomechanical study of human hands and fists has hit the presses.","Rob Brooks, Contributor
Evolutionary biologist and author",2012-12-22,"Hands Are for Fighting, Not for Talking? So many popular stories about evolution strive to pinpoint a single evolutionary force responsible for a particular trait. I am expecting that we will see a new tide of stories that are just so, given that news of a new biomechanical study of human hands and fists has hit the presses. Rob Brooks, Contributor
Evolutionary biologist and author"
https://www.huffingtonpost.com/entry/buddhist-in-america_b_5923890.html,Buddhist in America,RELIGION,"Growing up in a Buddhist family in Virginia in the '80s, I was often on the defensive about my family's beliefs. It was not unusual to be shunned by other kids because I did not believe in God the same way they'd been taught in church.","Nathan Gauer, ContributorAuthor of Songs to Make the Desert Bear Fruit",2014-10-03,"Buddhist in America Growing up in a Buddhist family in Virginia in the '80s, I was often on the defensive about my family's beliefs. It was not unusual to be shunned by other kids because I did not believe in God the same way they'd been taught in church. Nathan Gauer, ContributorAuthor of Songs to Make the Desert Bear Fruit"
https://www.huffingtonpost.com/entry/john-nash-dead-a-beautiful-mind_n_7430856.html,'A Beautiful Mind' Mathematician Killed In Car Accident,SCIENCE,,Alana Horowitz Satlin,2015-05-24,'A Beautiful Mind' Mathematician Killed In Car Accident  Alana Horowitz Satlin
https://www.huffingtonpost.com/entry/nyt-cellphones_b_6960762.html,'Sophisticated Evaluation of Serious Research' at the New York Times?,SCIENCE,"Some editors at the New York Times seem to have either developed a severe case of institutional amnesia, or decided to confer the presumption of innocence upon cellphone radiation, as the newspaper did upon asbestos for an entire decade after the mineral had been shown to be the most important industrial carcinogen in the world.","Paul Brodeur, ContributorFmr. staff writer at The New Yorker",2015-03-28,"'Sophisticated Evaluation of Serious Research' at the New York Times? Some editors at the New York Times seem to have either developed a severe case of institutional amnesia, or decided to confer the presumption of innocence upon cellphone radiation, as the newspaper did upon asbestos for an entire decade after the mineral had been shown to be the most important industrial carcinogen in the world. Paul Brodeur, ContributorFmr. staff writer at The New Yorker"
https://www.huffingtonpost.com/entry/nasa-hubble-space-telescope-universe-galactic-burnouts_us_5baebe31e4b014374e2ecf95,Hubble Space Telescope Helps Solve Mystery Of Universe's Massive Galactic Burnouts,SCIENCE,"""We at last show how these compact galaxies can form, how it happened, and when it happened,"" Toft said. ""This basically","Space.com, Space.com",2014-02-09,"Hubble Space Telescope Helps Solve Mystery Of Universe's Massive Galactic Burnouts ""We at last show how these compact galaxies can form, how it happened, and when it happened,"" Toft said. ""This basically Space.com, Space.com"
https://www.huffingtonpost.com/entry/donald-trump-reporters-kids-halloween_us_59f39a1ee4b03cd20b81ac99,"Donald Trump Met Reporters' Kids, And It Was More Trick Than Treat",POLITICS,"“Well, you have no weight problems. That’s the good news, right?” the president told children.",Mollie Reilly,2017-10-27,"Donald Trump Met Reporters' Kids, And It Was More Trick Than Treat “Well, you have no weight problems. That’s the good news, right?” the president told children. Mollie Reilly"
https://www.huffingtonpost.com/entry/rabbis-gaza_n_5863122.html,"Western Rabbis Draw Congregants' Wrath By Discussing Israel, Gaza",RELIGION,,,2014-09-23,"Western Rabbis Draw Congregants' Wrath By Discussing Israel, Gaza  "
https://www.huffingtonpost.com/entry/pope-female-genital-mutilation_n_6635886.html,Pope Condemns Violence Against Women,RELIGION,,,2015-02-07,Pope Condemns Violence Against Women  
https://www.huffingtonpost.com/entry/bridge-building-ants_us_5655e760e4b08e945feaaff7,Scientists Reveal Secret Behind Army Ants' Bridge-Building Ways,SCIENCE,The research could inspire new robotics.,Eliza Sankar-Gorton,2015-11-26,Scientists Reveal Secret Behind Army Ants' Bridge-Building Ways The research could inspire new robotics. Eliza Sankar-Gorton
https://www.huffingtonpost.com/entry/shenzhou-10-spacecraft-china_us_5baeb2bfe4b014374e2dec8d,"Shenzhou 10 Spacecraft, China's New Manned Spaceship, Planned To Launch In June 2013",SCIENCE,"The crew could include one female and two male astronauts, who are scheduled to enter the Tiangong 1 space lab module, according","Reuters, Reuters",2012-11-10,"Shenzhou 10 Spacecraft, China's New Manned Spaceship, Planned To Launch In June 2013 The crew could include one female and two male astronauts, who are scheduled to enter the Tiangong 1 space lab module, according Reuters, Reuters"
https://www.huffpost.com/entry/michael-osterholm-coronavirus-prediction-september_n_5f323fd3c5b64cc99fdd8601,Infectious Disease Expert Predicts When U.S. Coronavirus Cases Will Again Explode,POLITICS,Michael Osterholm warned a back-to-school surge in COVID-19 “will far surpass what we saw after Memorial Day.”,Lee Moran,2020-08-11,Infectious Disease Expert Predicts When U.S. Coronavirus Cases Will Again Explode Michael Osterholm warned a back-to-school surge in COVID-19 “will far surpass what we saw after Memorial Day.” Lee Moran
https://www.huffingtonpost.com/entry/interstellar-winds-solar-system_us_5baeb939e4b014374e2e884e,"Interstellar Winds Flowing Into Our Solar System May Have Shifted Direction, Study Finds",SCIENCE,"As Earth and the other planets orbit the sun, the solar system itself travels through space. Its slow journey is taking it",Jacqueline Howard,2013-09-07,"Interstellar Winds Flowing Into Our Solar System May Have Shifted Direction, Study Finds As Earth and the other planets orbit the sun, the solar system itself travels through space. Its slow journey is taking it Jacqueline Howard"
https://www.huffingtonpost.com/entry/im-sorry-from-a-sensitive-male-feminist_us_58312b73e4b0eaa5f14d462c,"As A Sensitive Male Feminist, I Am Sorry",POLITICS,I’ve been crying for the men who are afraid to empower their daughters and the other women around them.,"Paco Lozano-Wiese, ContributorActor, Playwright, Performer",2016-11-20,"As A Sensitive Male Feminist, I Am Sorry I’ve been crying for the men who are afraid to empower their daughters and the other women around them. Paco Lozano-Wiese, ContributorActor, Playwright, Performer"
https://www.huffingtonpost.com/entry/dark-matter-search-underground-lab-ontario_us_5baeb654e4b014374e2e4b44,Dark Matter Search Heats Up At Underground Lab In Ontario,SCIENCE,"The project, called COUPP-60 (the Chicagoland Observatory for Underground Particle Physics), is a 30-liter chamber filled",,2013-05-04,"Dark Matter Search Heats Up At Underground Lab In Ontario The project, called COUPP-60 (the Chicagoland Observatory for Underground Particle Physics), is a 30-liter chamber filled "
https://www.huffingtonpost.com/entry/my-easter_b_5180784.html,My Easter,RELIGION,"Easter was to my mother what Christmas was to me -- the best of the best.  When I was old enough to articulate my preference for Christmas, I'd start with the unpleasantness of 'Good Friday.' How could torturing someone to death be the cause for celebration?","Paula Gordon, ContributorProducer and Host, 'The Paula Gordon Show'",2014-04-20,"My Easter Easter was to my mother what Christmas was to me -- the best of the best.  When I was old enough to articulate my preference for Christmas, I'd start with the unpleasantness of 'Good Friday.' How could torturing someone to death be the cause for celebration? Paula Gordon, ContributorProducer and Host, 'The Paula Gordon Show'"
https://www.huffingtonpost.com/entry/seti-alien-life-extraterrestrial_us_5baeb4ade4b014374e2e1eff,SETI's Alien Life Study Finds 'No Signals Of Extraterrestrial Origin',SCIENCE,"""The analogy is, it's the water hole where animals go in the desert, so perhaps this band of frequencies is a common gathering",,2013-02-10,"SETI's Alien Life Study Finds 'No Signals Of Extraterrestrial Origin' ""The analogy is, it's the water hole where animals go in the desert, so perhaps this band of frequencies is a common gathering "
https://www.huffingtonpost.com/entry/how-people-of-faith-can-make-a-difference-in-the-health_us_59554e35e4b0326c0a8d0ec2,How People Of Faith Can Make A Difference In The Health Care Debates,RELIGION,"These are basic choices that are not just political, but moral.","Jim Wallis, ContributorChristian leader for social change; President and Founder @Soj...",2017-06-29,"How People Of Faith Can Make A Difference In The Health Care Debates These are basic choices that are not just political, but moral. Jim Wallis, ContributorChristian leader for social change; President and Founder @Soj..."
https://www.huffingtonpost.com/entry/supreme-court-death-row-question_us_575599a7e4b0eb20fa0e7a0d,Supreme Court Makes Slip-Up In Death Penalty Case,POLITICS,"Two hours after saying it would hear two questions raised by a death row inmate, the court narrowed the case.",Cristian Farias,2016-06-06,"Supreme Court Makes Slip-Up In Death Penalty Case Two hours after saying it would hear two questions raised by a death row inmate, the court narrowed the case. Cristian Farias"
https://www.huffingtonpost.com/entry/the-most-important-womens-issue-youve-never-heard-of_b_6918574.html,The Most Important Women's Issue You've Never Heard of,RELIGION,"Carrying water is not only hard work; it is dangerous work as well. A woman walking miles through the rural African bush alone isn't safe. So, women are exposed to violence and shame, which limits their possibilities for education, marriage, better health and other prospects.","Richard Stearns, ContributorPresident, World Vision",2015-03-22,"The Most Important Women's Issue You've Never Heard of Carrying water is not only hard work; it is dangerous work as well. A woman walking miles through the rural African bush alone isn't safe. So, women are exposed to violence and shame, which limits their possibilities for education, marriage, better health and other prospects. Richard Stearns, ContributorPresident, World Vision"
https://www.huffpost.com/entry/msnbc-montage-donald-trump-violent-rhetoric_n_5ff80c74c5b63642b6fa7117,Donald Trump’s Years Of Violent Rhetoric Laid Bare In Damning Supercut,POLITICS,Trump's chilling comments are dubbed over footage of U.S. Capitol rioters in the MSNBC montage.,Lee Moran,2021-01-08,Donald Trump’s Years Of Violent Rhetoric Laid Bare In Damning Supercut Trump's chilling comments are dubbed over footage of U.S. Capitol rioters in the MSNBC montage. Lee Moran
https://www.huffingtonpost.com/entry/new-terminator-style-material-could-make-space-travel-safer_us_55e5dde7e4b0b7a9633a5ff9,Freaky 'Terminator'-Style Material May Lead To Safer Space Travel,SCIENCE,You simply can't leave a hole in this stuff.,Jacqueline Howard,2015-09-02,Freaky 'Terminator'-Style Material May Lead To Safer Space Travel You simply can't leave a hole in this stuff. Jacqueline Howard
https://www.huffingtonpost.com/entry/myth-breaking-in-physics_b_5214404.html,Myth Breaking in Physics,SCIENCE,"Opening up your life to a camera crew is intrusive, but I did so for Particle Fever, a documentary about particle physics, because I am determined to see one major myth broken: that physics means math.","Monica Dunford, ContributorPhysicist, Kirchhoff-Institute for Physics at the University o...",2014-04-29,"Myth Breaking in Physics Opening up your life to a camera crew is intrusive, but I did so for Particle Fever, a documentary about particle physics, because I am determined to see one major myth broken: that physics means math. Monica Dunford, ContributorPhysicist, Kirchhoff-Institute for Physics at the University o..."
https://www.huffpost.com/entry/david-attenbourough-climate-change-crime_n_60bd88c7e4b0882193c5e7b7,David Attenborough Says Climate Change Is A ‘Crime’ Humanity Has Inflicted On The Planet,POLITICS,"The documentarian reiterated his grief that society has destroyed large swaths of the natural world, but said humanity is “not beyond redemption.”",Nick Visser,2021-06-07,"David Attenborough Says Climate Change Is A ‘Crime’ Humanity Has Inflicted On The Planet The documentarian reiterated his grief that society has destroyed large swaths of the natural world, but said humanity is “not beyond redemption.” Nick Visser"
https://www.huffingtonpost.com/entry/mark-driscoll-mars-hill-_n_5705713.html,Conservative Mega-Pastor's Meteoric Fall Takes Dramatic Turn,RELIGION,,,2014-08-24,Conservative Mega-Pastor's Meteoric Fall Takes Dramatic Turn  
https://www.huffingtonpost.com/entry/religions-connection-to-the-end-times_b_5570809.html,Religion's Connection to the End Times,RELIGION,"The fatalistic belief in the end of humanity, most often because of our sins or lack of virtue, is as frightening as it is harmful. If we believe that no matter what we do, the majority of us will perish in some reign of heavenly or demonic fire, what is our motivation to plan for our collective future?","Roy Speckhardt, ContributorExecutive Director, American Humanist Association",2014-07-14,"Religion's Connection to the End Times The fatalistic belief in the end of humanity, most often because of our sins or lack of virtue, is as frightening as it is harmful. If we believe that no matter what we do, the majority of us will perish in some reign of heavenly or demonic fire, what is our motivation to plan for our collective future? Roy Speckhardt, ContributorExecutive Director, American Humanist Association"
https://www.huffingtonpost.com/entry/cardinal-burke-pope-francis_n_6083940.html,Cardinal Burke: Catholic Church Under Pope Francis Is 'A Ship Without A Rudder',RELIGION,,,2014-11-02,Cardinal Burke: Catholic Church Under Pope Francis Is 'A Ship Without A Rudder'  
https://www.huffingtonpost.com/entry/presbyterian-general-assembly_b_5499395.html,Presbyterian General Assembly Biennial Meeting: My Message on Israel and Palestine,RELIGION,The sustainability of Israel as a homeland for the Jewish people has always been dependent on its ability to deliver justice to the Palestinians. We learned in South Africa that the only way to end apartheid peacefully was to force the powerful to the table through economic pressure.,"Desmond Tutu, ContributorArchbishop Emeritus of Cape Town",2014-06-16,"Presbyterian General Assembly Biennial Meeting: My Message on Israel and Palestine The sustainability of Israel as a homeland for the Jewish people has always been dependent on its ability to deliver justice to the Palestinians. We learned in South Africa that the only way to end apartheid peacefully was to force the powerful to the table through economic pressure. Desmond Tutu, ContributorArchbishop Emeritus of Cape Town"
https://www.huffingtonpost.com/entry/stonehenge-path-discoverd-solstice-axis_us_5baeb98ee4b014374e2e8b2f,Stonehenge Path Offers New Clues To Site's Age-Old Secrets,SCIENCE,"“It was constructed in 2300 BC so is a later addition to the stone circle, but people would have processed along it to the",Meredith Bennett-Smith,2013-09-14,"Stonehenge Path Offers New Clues To Site's Age-Old Secrets “It was constructed in 2300 BC so is a later addition to the stone circle, but people would have processed along it to the Meredith Bennett-Smith"
https://www.huffingtonpost.comhttp://pubx.co/cDshDL,How Mood Lighting Is Saving Florida’s Endangered Sea Turtles,SCIENCE,"Sea turtles are faithful—to their nesting beaches, that is. Females of all seven sea turtle species return to the same beach",,2016-02-01,"How Mood Lighting Is Saving Florida’s Endangered Sea Turtles Sea turtles are faithful—to their nesting beaches, that is. Females of all seven sea turtle species return to the same beach "
https://www.huffingtonpost.com/entry/chuck-schumer-single-payer_us_5974b05be4b00e4363e0164e,Chuck Schumer Says Senate Democrats Are Open To Single-Payer Health Care,POLITICS,"The Democratic party was ""too cautious"" in the past, he said.",Mollie Reilly,2017-07-23,"Chuck Schumer Says Senate Democrats Are Open To Single-Payer Health Care The Democratic party was ""too cautious"" in the past, he said. Mollie Reilly"
