text,label
"Daily Meditation: Sacred Service We all need help maintaining our personal spiritual practice. We hope that these Daily Meditations, prayers and mindful awareness Antonia Blumberg",1
Ohio Girl's Abortion Doctor Once Targeted In Vicious Kidnapping Threat: Report Dr. Caitlin Bernard is also currently listed on the website of a militant anti-abortion group with ties to Supreme Court Justice Amy Coney Barrett. Mary Papenfuss,0
"Space Lawyers Are A Thing, And We Talked To One About The Future Of Cosmic Mining Dr. Frans von der Dunk weighs in on the space bill that just passed Congress and what exactly being a ""space lawyer"" entails. Lila Shapiro",2
"Criticism of EPA's Economic Analysis Sorely Misplaced The agency has been at the forefront of critical advances in the field. Improvements can be made, but the agency's record should not be unfairly and inaccurately disparaged. Michael A. Livermore and Richard L. Revesz , ContributorLawrence King Professor of Law and Dean Emeritus at NYU School...",0
"GOP Senator Says He'll 'Probably' Get Around To Letting People Know If He's Voting For Donald Trump Time's running out, Sen. Toomey. Sam Levine",0
Freaky 'Terminator'-Style Material May Lead To Safer Space Travel You simply can't leave a hole in this stuff. Jacqueline Howard,2
"Revolutionary War-Era Ship Unearthed At D.C.-Area Construction Site ""It makes you wonder what else is hidden and underneath our ground here."" Nina Golgowski",2
Why Some Synagogues Are Using Mission Trips To 'Heal The World'  ,1
"Religion's Connection to the End Times The fatalistic belief in the end of humanity, most often because of our sins or lack of virtue, is as frightening as it is harmful. If we believe that no matter what we do, the majority of us will perish in some reign of heavenly or demonic fire, what is our motivation to plan for our collective future? Roy Speckhardt, ContributorExecutive Director, American Humanist Association",1
Cardinal Burke: Catholic Church Under Pope Francis Is 'A Ship Without A Rudder'  ,1
"They’re Progressive, Fighting For Social Justice, And Under Scrutiny From Fellow Democrats These charter school teachers are watching from the sidelines as their livelihood faces growing criticism. Rebecca Klein",0
"First Map of Jupiter's Giant Moon Ganymede Unveiled (PHOTOS, VIDEO) Follow Mike Wall on Twitter @michaeldwall and Google+. Follow us @Spacedotcom, Facebook or Google+. Originally published Space.com, Space.com",2
"Pope Francis Depressed, weary, or frightened by stories of USIS and ISIS and other horrors, plus by debates over ""religious extremism"" and the role of Islam, we focus instead on the not-unimportant figure of Pope Francis, who makes news and inspires reflection. Martin Marty, ContributorHistorian of religion in the U.S., author of over 60 books, sp...",1
The Ideologies Of American Churches In One Graph  Antonia Blumberg,1
What Is That? 10 Amazing Photos Show It Can Be Hard To Tell Close Up From Far Away It's... micro again! This is a scanning electron microscope image of the surface of a piece of polished aluminum. Interesting Macrina Cooper-White,2
"Catholic Church: It's Not Me, It's You There is a certain voicelessness that I associate with my experience in Catholicism--sure, I can talk about gay rights, premarital sex or saving the environment, but I am often met with a dismissive response or the assumption that I'm going through a progressive phase. Kathleen Ferraro, ContributorStudent, Northwestern University",1
"Why Eating Slowly Really Does Make Food Taste Better It has to do with how you breathe during meals, a new study shows. Jacqueline Howard",2
Jeff Sessions Has 'No Reason To Doubt' Sexual Abuse Allegations Against Roy Moore The attorney general also stressed that he is steering clear of involvement in the race for his old Senate seat. Ryan J. Reilly,0
Scientists Discover Spooky Influence On Baby Name Choices  Jacqueline Howard,2
"Progressive Christians To Pray In Solidarity With Muslims At Mosques On Inauguration Day First they came for the Socialists, and I did not speak out. Jim Burklo, ContributorAssociate Dean of Religious Life, University of Southern Calif...",1
"New UK Super Prison A Model of Reform Over Punishment By Christopher Zoukis It's a slow shift, but the criminal justice system moving its focus more toward rehabilitation and Christopher Zoukis, ContributorAuthor and Prisoners' Rights Advocate",0
Retired Research Chimps Are Really Enjoying Their New Home  Dominique Mosbergen,2
"Hekate: A Goddess for Halloween Let's take a closer look (if we dare) at the inspiration for the cackling Halloween hag, the patroness of witches: Hekate. Laurie Lovekraft, ContributorPriestess, Performer, USC Religious Studies Lecturer",1
"Gingrich Is Mistaken On Shariah Deportations Newt Gingrich, who holds a Ph.D. in European History and is thus a presumptively educated man, has delivered yet another Liaquat Ali Khan, ContributorFounder, Legal Scholar Academy, Kansas",1
"How People Of Faith Can Make A Difference In The Health Care Debates These are basic choices that are not just political, but moral. Jim Wallis, ContributorChristian leader for social change; President and Founder @Soj...",1
"Space Aliens Are Already Here Until astronomers detect signs of life on Earth-like plants around Sun-like stars, or until SETI searches record an old TV show broadcast by a civilization circling another star, we will have to be satisfied with these tiny, fluffy space aliens. Robert Sanders, ContributorScience writer, UC Berkeley",2
"Getting Unstuck (Second Shabbat of Passover, April 11, 2015) Passover is the holiday of getting unstuck. The Israelites lived in slavery for hundreds of years in Egypt, completed dominated by Pharoah and his regime. But the message of the biblical Exodus is that what is, now, does not have to be what is in the future. Rabbi David Jaffe, ContributorKirva Institute, Founder and Dean",1
"Visionary Medicine: Neurosurgery Simulation and the Potential to Save Lives Successful outcomes depend on an almost fantastic synthesis of psychomotor control, excellent visual discrimination, years of training, and meticulous planning. How can surgeons reach this peak more efficiently, perhaps more quickly? Traci L. Slatton, Contributor
Author",2
"Squid, Octopus Color Change Ability Tied to 'Switchable' Cells & Water Flux This shows the diffusion of the neurotransmitter applied to squid skin at upper right, which induces a wave of iridescence Jacqueline Howard",2
"Netanyahu Is an Ass, But He's My Ass Although I never voted for him while living in Israel, I, along with a majority of voting Israelis, have always counted on Netanyahu to do what it takes to protect the security of Israeli citizens and by extension all Jews. Laura Goldman, ContributorCurrently freelances for ABC and the Daily Mail",0
"If You Like To Blow S*** Up, Check Out These Chemistry GIFs Blammo! David Freeman",2
"Pope Announces Sweeping Reforms To Annulments Under the new rules, annulments can be made faster and cheaper. ",1
"Ted Cruz ‘Affair’ Rumors Peddled By Marco Rubio’s Allies The senator accused Donald Trump of planting a National Enquirer sex scandal story. If that’s true, Trump wasn’t the only ",0
"Sobibor Mystery Pendant Sparks Family Reunion 76 years ago this week, Karolina Cohn was torn from her Frankfurt home and deported in a cattle car for a harrowing journey Greg Schneider, ContributorExecutive Vice President, Conference on Jewish Material Claims...",1
"These Are The Three Richard Spencer Fans Arrested For Attempted Homicide In Gainesville They are all active white supremacists; two of them are violent felons. Jessica Schulberg, Christopher Mathias, and Luke O'Brien",0
"Religion Scholar Says Spiritual Revolution Begins In Nature Diana Butler Bass' new book explores finding God in the physical world. Jennifer Preyss, Religion News Service",1
"Sikh Holiday, Christian Campus It's the time of renewal in the northern hemisphere. So how does a Sikh Religion professor who teaches at a Lutheran university celebrate Vaisakhi? Well, here's how the day of April 14, 2015 shook out. Rahuldeep Singh Gill, Ph.D., ContributorEducator, Author, Speaker",1
"RNC Chair: Trump Was Just Making Small Talk When He Asked FBI Head How He Voted ""This is a president who is just getting to know people, and that’s part of those conversations,” said Ronna Romney McDaniel. Marina Fang",0
"Two Sex Educators On Confronting Taboo Topics In The Classroom Hundreds of miles apart, educators Emily Feher and Melanie Lucash aren't shying away from sticky subjects. Antonia Blumberg",1
Donald Trump Attempts To Appeal To Bernie Sanders Supporters In Convention Speech Good luck. Elise Foley,0
"British Astronaut Is Sorry For Dialing Wrong Number From Space Smooth move, astronaut. ",2
"Early Human Explorers? Neanderthals, Homo Erectus May Have Been Mediterranean Mariners The exceedingly old age of these artifacts suggests the seafarers who made them might not even been modern humans, who originated ",2
"Fertility Clinics Let You Select Your Baby's Sex About one out of five couples who come to HRC Fertility, a network of fertility clinics in Southern California, doesn’t need ",2
"Murders By U.S. White Supremacists More Than Doubled In 2017, New Report Shows And right-wing extremists killed more than twice as many people as Islamic extremists. Christopher Mathias",0
Why The Discovery Of The Milky Way's 'Dark Twin' Is Such A Big Deal Dragonfly 44 could help solve one of nature's biggest mysteries. David Freeman,2
"Pope To Offer Solidarity With Cubans On Trip To U.S. Pope Francis began a 10-day trip to Cuba and the United States on Saturday, embarking on his first trip to the onetime Cold Nicole Winfield and Michael Weissenstein, AP",1
Obama To Give Statement From The Oval Office He's speaking after meeting with his national security team. Paige Lavender,0
"Why Robert Jeffress Is Wrong About Romans 13 (And North Korea) His use of this passage to support military action is a dangerous misinterpretation of what the Bible actually says. Peter Henne, ContributorAssistant Professor at the University of Vermont",1
Giant Salamander VIDEO Shows World's Largest Amphibian Vacuuming Up A Meal So those first tetrapods—which paved the way from sea to land—may have opened wide to slurp up their prey as well. See more Travis Korte,2
Police Chief To Black Churches: 'We Can't Do This Without You Guys'  ,1
California Moves To Crack Down On Super PAC Coordination A state regulator steps up while federal action remains out of reach. Paul Blumenthal,0
"Muslims Of America: Chapter One Actions are according to intentions, and everyone will get what was intended. Whoever migrates with an intention for Allah Omar Alnatour, ContributorPalestinian-American Muslim. Medical Student. Humanitarian.",1
"Smartphone Lovers More Likely To Forget Things, Walk Into People Stop reading this and go outside! Carolyn Gregoire",2
"White House Talks Tough On Iran, But Suggests Nuke Deal Is OK After All Trump’s staff warns Iran that its recent missile test is a problem -- but notes that the country is still in compliance with its high-profile nuclear agreement. S.V. Date",0
"Why Do We Blink So Much? Blinking Provides Mental Rest, New Research Suggests The researchers found that at points where natural breaks occurred in the video, two things happened: the stop elicited a Melissa Cronin",2
"Is The Universe A Simulation? IN Mikhail Bulgakov’s novel “The Master and Margarita,” the protagonist, a writer, burns a manuscript in a moment of despair ",2
"Autumnal Equinox 2013: Why First Day Of Fall Arrives On September 22 The seasons will change this Sunday (Sept. 22), with the Northern Hemisphere moving into autumn and the South emerging from Space.com, Space.com",2
Here's How Long It Would Take To Fall Through The Center Of Earth  Jacqueline Howard,2
Pat Robertson Tries To Explain 'Fifty Shades Of Grey'  Ed Mazza,1
"British Man Pleads Guilty After Grabbing Officer's Gun At Trump Rally Sandford's intent with the gun grab was not revealed in the plea deal. Curtis Skinner, Reuters",0
'Screaming Mummy' Mystery May Have Finally Been Solved Who was he and why was he screaming? Ed Mazza,2
"Bubble 'Life Cycle' Described With Help Of Climate Modeling Technique by Lizzie Wade on 9 May 2013, 2:00 PM Another day, another groundbreaking physics experiment about bubbles. Although scientists Melissa Cronin",2
"Asia In Flames? Cross-posted with TomDispatch.com At the U.N. recently, Donald Trump followed up on his bloodcurdling threat to unleash on Tom Engelhardt, ContributorEditor, TomDispatch.com",0
"Fighting the New Stupidity Vaccines are a great triumph of the human intellect over ancient evils. That triumph must not be dimmed by ignorance, paranoia, and demagoguery. Keith M. Parsons, ContributorPhilosopher, historian, author; Professor of Philosophy at Uni...",2
"Bill Nye Is 'Open-Minded But Skeptical' About Elon Musk's Bold New Vision For Mars Pros: Mars is exotic, romantic. Cons: It's cold, barren and can't even breathe. David Freeman",2
Jane Goodall Wants You To Stand Up To Those Who Belittle Science The famed conservationist is supporting this month’s “March for Science” amid Donald Trump’s push to derail climate action. Chris D'Angelo,0
"'Oomph' and Origin of Life at Hydrothermal Vents Following are excerpts from my interviews on the origin of life at hydrothermal springs with Michael Russell and Elbert Branscomb, peppered with comments from Nick Lane. Suzan Mazur, ContributorAuthor, 'The Origin of Life Circus:  A How To Make Life Extrav...",2
"It Doesn't Sound Like Senate Republicans Are Anywhere Close To A Deal On Obamacare Repeal ""Where do I start?"" one senator said when asked what the holdup was on health care negotiations. Laura Barrón-López and Jonathan Cohn",0
American And Israeli Jews Are Strongly Connected But Sharply Divided The Pew Research Center takes a look at Jewish life in Israel and the United States. Carol Kuruvilla,1
"A Living Mars: PHOTOS Show How Red Planet Might Look With Water ""This wasn’t intended as an exhaustive scientific scenario as I’m sure (and expect) some of my assumptions will prove incorrect Meredith Bennett-Smith",2
"Elizabeth Warren Lays Out Plan To Hold Health Insurers Accountable “Private insurance companies are failing the American people,” the senator said on Thursday. Daniel Marans",0
"Former Republican Presidential Candidate Bob Dole Hospitalized He's been hospitalized since last week due to low blood pressure, his spokeswoman said. Gina Cherelus, Reuters",0
"Wine Knowledge, Ability To Taste Bitter Flavor Linked In New Study Of Propylthiouracil, Or 'PROP' ""Supertasting,"" which sensitivity to PROP may indicate, is a condition that gives people far greater ability to taste than ",2
"Dakota Access Pipeline Protesters Hunker Down For Winter At Standing Rock Protesters have been ordered to evacuate by Monday, but many are resolved to stay and protect the sacred land. Ernest Scheyder and Terray Sylvester, Reuters",0
"Researchers Find Second U.S. Patient Infected With 'Superbug' Gene The mcr-1 gene makes bacteria highly resistant to the last-resort antibiotic called colistin, which is used to treat multi-drug-resistant infections. ",2
"‘Fifty Shades Of Grey' Gets Black Marks From Bishops, Pastors  ",1
Muslim Celebs Explain Why A Religion Of 1.7 Billion Can't Be Reduced To Stereotypes What does it mean to be Muslim? There are more than a billion answers. Antonia Blumberg,1
How Would You Have Done On The First SAT Ever?  Rebecca Klein,0
"Kalevi Kull: Censorship & Royal Society Evo Event  Suzan Mazur, ContributorAuthor, 'The Origin of Life Circus:  A How To Make Life Extrav...",2
LOOK: 1 Million Monks Can Fit In This Buddhist Temple  Antonia Blumberg,1
"Domestic Violence Awareness Must Be Inclusive Of Immigrant Survivors This Domestic Violence Awareness and Action Month is a time to strengthen our resolve to make sure that our community response to domestic violence is truly relevant to all survivors. Grace Huang, ContributorPolicy Director, Asian Pacific Institute on Gender-Based Violence",0
"President Obama Says Flint's Glass Is Half Full Yes, the water crisis was bad -- but things are getting better. Arthur Delaney",0
One Republican Would Subpoena Trump's Taxes If Russia Probe Goes There Sen. Susan Collins said the Intelligence Committee would seek the president's withheld tax returns if it is necessary to find any Russian connections. Michael McAuliff,0
Hawking Warns We're Facing A Disaster In Next Thousand Or Ten Thousand Years But it doesn't have to be the end of humankind. Steven Hoffer,2
"Trump Is Still Threatening To Pull Out Of NAFTA – Except Maybe He Can’t Congress approved a law implementing the trade deal, and it is unclear whether Trump can unilaterally undo that. S.V. Date",0
"Explaining the Middle East in Two Minutes! Your favorite politician or pundit says there's an easy solution? This should help clarify things... Rick Horowitz, ContributorMilwaukee Public TV Commentator, Writing Coach, Writing & ...",0
"Abercrombie Religious Discrimination Case Less Than Cool For Supreme Court, Sikh Americans If the Supreme Court imposes stringent notice requirements on job applicants and employees, it will set the clock back on religious rights in the workplace by decades. Employers will be able to duck their heads into the sand any time a visibly religious Sikh, Muslim or Jew walks in. Gurjot Kaur, ContributorCivil Rights Attorney, Writer, Activist",1
Pope Makes Surprise Stop To Bless Statue Of Catholic-Jewish Unity Students and faculty at Saint Joseph's University came out in full force to witness the pontiff's historic visit. Carol Kuruvilla,1
"Pension Benefit Cuts Planned at T.V.A., Breaking a Federal Firewall But what has elevated an increasingly common debate about pensions into a larger controversy about inequality is Mr. Johnson’s ",0
Milky Way's Vast Galactic Plane Shimmers In Hypnotic New Video The Herschel Space Observatory offers an unprecedented look at our galactic home. David Freeman,2
"Neil deGrasse Tyson: Science Deniers In Power Are A Profound Threat To Democracy ""You don't have the option to say you don't believe E=mc2. It's true whether or not you believe it."" Mary Papenfuss",2
"Republicans Say Their Supreme Court Obstruction Is For The Good Of The Nominee GOP senator admits that it's not about a nominee's qualifications, it's about politics. Amanda Terkel and Sam Stein",0
"Stop Trying To Repeal Obamacare, Former GOP Official Tells His Party You can't do it, Tommy Thompson said, and you shouldn't try. Jonathan Cohn",0
"Shmitta: The Bible's Solution to America's Debt Problems? Where are we now? Income disparity soars, student loans threaten to be the next subprime mortgages, and millions of Americans struggle daily to make ends meet. Unmanageable, crippling debt is still harming millions of American families. Ari Hart, ContributorRabbi, Co-founder, Uri L'Tzedek: Orthodox Social Justice",1
"These 15 Tiny Churches Have Plenty Of Personality Tiny church, huge spirit. Carol Kuruvilla",1
How This Former Extremist Embraced The Real Meaning Of Jihad Muslim scholar Manwar Ali shares his life story in a Tedx talk. Carol Kuruvilla,1
"How To Vote If You're In The Military Or Living Abroad Trust us, it's easy. Sara Bondioli",0
Keith Ellison May Have A Radical Challenger For DNC Chair -- Who Backed Hillary Clinton NARAL's Ilyse Hogue is the first woman eyeing Democratic National Committee leadership in the Trump era. Mollie Reilly,0
"What If Obama Really Went Off the Deep End Like Honduras' Mel Zelaya Just imagine this story. President Barack Obama decides he wants to have a national referendum on being able to have a national referendum during the next general elections. Marco Cáceres, ContributorEditor, Honduras Weekly",0
"How One Man's Face Became Another Man's Face For the moment, the face belongs to no one. It floats in a bowl of icy, hemodynamic preserving solution, paused midway on ",2
"Giving Up Something, Or Not Giving Up Something, for Lent I am not suggesting that we just suppose that everyone around us can be trusted and we need not worry about our personal safety or the security of personal belongings. But I do propose giving up the practice of focusing on the faults of other people and, instead, looking for their good qualities. William B. Bradshaw, ContributorAuthor",1
"New Horizons Won't Be The Only Spacecraft At Our Solar System's Edge The Voyager 1 spacecraft, which launched in 1977, made the historic entry into interstellar space in 2012 and continues to Jacqueline Howard",2
"With Sanctions And Condemnation, U.S. Hints At Shift On Russia The new sanctions are the most significant the U.S. has taken against Russia since Trump took office. Arshad Mohammed and John Walcott, Reuters",0
"Interstellar Winds Flowing Into Our Solar System May Have Shifted Direction, Study Finds As Earth and the other planets orbit the sun, the solar system itself travels through space. Its slow journey is taking it Jacqueline Howard",2
"George H. W. Bush Released From Hospital After Fall KENNEBUNKPORT, Maine (AP) — Former President George H.W. Bush was released from a Maine hospital on Sunday, four days after ",0
"Scientists Scan 100,000 Galaxies But Find No Evidence Of Alien Life  Macrina Cooper-White",2
Tomi Lahren Gets Owned By Genealogist After Her Remarks On Low-Skilled Immigrants Lahren’s great-great-grandmother spoke no English after living in the United States for a decade. Jenna Amatulli,0
"2013 Comets: Astronomers Prepare For Comet ISON, Pan-STARRS In 'Year Of Comets' Many comets today are discovered by teams of observers, which has started a trend to name these discoveries for the project ",2
Donald Trump Blasts China's 'Unpresidented' Seizure Of U.S. Navy Drone All while remaining unfazed by suspected Russian cyberattacks. Chris D'Angelo,0
Identical Twins' Genes Research Suggests Siblings Are Genetically Different SAN FRANCISCO – Identical twins may not be so identical after all. Even though identical twins supposedly share all of their ,2
Southern Conservative Named To House Leadership Post  ,0
"The Mistrust Of Science If this place has done its job—and I suspect it has—you’re all scientists now. Sorry, English and history graduates, even ",2
"Republicans Beg Supreme Court To Let Them Keep Using An Unconstitutional Map “There is no need to hurry"" to redraw those congressional districts, they said. Sam Levine",0
"NASA Uses Navajo Language To Name Rocks And Other Features Of Mars How do you say Mars in Navajo? Try ""Máaz."" Jeremy Blum",2
"U.S. Lawmakers Join Demand For Puerto Rico Governor’s Resignation Puerto Ricans staged week-long protests calling on Ricardo Rossello to quit over leaked misogynistic and homophobic messages. Andrew Hay, Reuters",0
'Bergxit': One Of The Largest Icebergs On Record Set To Break From Antarctic Shelf Experts say the chunk of ice will be larger than the island of Bali. Chris D'Angelo,2
GOP Tax Plan Estimated To Add $1.7 Trillion To National Debt The Republican plan sharply reduces individual and corporate tax rates. Matt Fuller and Arthur Delaney,0
"The Magical Headspace Of Muslim Artist Noor Al-Mosawi It's about ""finding a grounding, stabilizing energy in our lives, regardless of what's swirling around us."" Carol Kuruvilla",1
"Forgiveness of Others and of Ourselves: Yom Kippur Thoughts Lately, I have come to believe the power to forgive is always mine. Exercising that power makes me stronger, not weaker. It definitely makes me happier. Why on Earth would I want to hold on to the pain of hating someone for something that happened 30 years ago? Laurie Levy, ContributorFounding director, Cherry Preschool; Blogger, ChicagoNow",1
"The Vatican's Synod on the Family, and Why You've Missed the Point. If you are extraordinarily upset or excited about the extraordinary Synod of Bishops on the family that has taken place for the last two weeks here in Rome, then you likely don't really understand what it actually is. Rev. Michael Rogers, S.J., ContributorJesuit Priest",1
"9/11 Memorial Brats - Never Forget! After looking for about ten minutes, Laura whispers my name. “Bert, over here.” She is standing next to a bronze parapet Bert Fulks, ContributorWriter, speaker, musician, business manager, and non-profit di...",0
"Nebraska, Oklahoma File Suit Against Colorado Over Marijuana Legalization  Matt Ferner",0
"The Contagion of National Anger Emotional contagion is not always bad. But when it seeks to generate anger merely to criticize, condemn, and push ends for which no compromise is sought and no valid claims of others are acceptable, it propagates hate and despair Terry Newell, ContributorFounder, Leadership for a Responsible Society",0
Why A Round-The-Clock Sit-In At This Catholic Church Is Ending After 12 Years The Friends of St. Frances Xavier Cabrini have been working in shifts since 2004 to keep the building constantly occupied. ,1
"Marco Rubio Slams Ted Cruz As 'Isolationist' Rubio said that while the Texas senator ""talks tough"" on national security, his actions tell a different story. Kelly Chen",0
"'Access Hollywood' Shoots Down Trump: 'The Tape Is Very Real' ""He said every one of those words."" Mary Papenfuss",0
15 Photos From Astronaut's Year In Space That Are Out Of This World Scott Kelly's Twitter feed gave us an incredible view of Earth. Jacqueline Howard,2
"Study Reveals Stunning Acceleration Of Sea Level Rise The oceans have heaved up and down as world temperatures have waxed and waned, but as new research tracking the past 2,800 ",2
"John Boehner Calls Ted Cruz 'Lucifer,' Word Searches Dramatically Spike Apparently some people had to look up the devil's lesser-known name. Antonia Blumberg",1
"New Museum Shows How Your Life Could Have Been 600,000 Years Ago | TIME.com To the south of Rome, a new museum will shed light into what life may have been like – 600,000 years ago. Read more on world.time.com ",2
"Donald Trump’s Immigration Plan: Big Promises, Bigger Doubts Big promises are to be expected from presidential candidates, but reality often intrudes. ",0
"Betsy DeVos Accused Of 'Whitewashing' The History Of Black Colleges Her statement on the issue is offensive and inaccurate, scholars say. Rebecca Klein",0
"San Juan Mayor And FEMA Official Debate Hurricane Response ""And all I did last week, or even this week, was ask for help. It has to happen in a sustained manner,"" Carmen Yulín Cruz said. Jason Cherkis",0
Belgian Catholic Bishop Calls For Recognition Of Same-Sex Relationships  Carol Kuruvilla,1
"Science And Technology Combine In Search For Underwater Resting Place Of WWII MIAs ""Families of MIAs never quit -- they never stop missing the person who's been taken out of their lives,"" says BentProp Project founder Patrick Scannon. Lee Speigel",2
Astronomers Create First 3D Map Of Hidden Universe  David Freeman,2
Scientists Create World's Coldest Molecules  Macrina Cooper-White,2
Rep. Joe Kennedy Picked To Give Democratic Response To Trump's State Of The Union He's expected to speak in defense of working Americans. Mary Papenfuss,0
"Cannabis Activists Get High In Front Of The White House In Dramatic Drug Law Protest A ""green energy"" revolution? Daniel Marans",0
